%%TM,TN,TQ,Stat,Clas,M,PR,PA,PE,PT,MR,MA,ME,MT,H,Str,FX,FY,FZ,FVX,FVY,FVZ,FVR,FAX,FAY,FAZ,FT,FirstLat,firstLong,FirstAlt,MeasLat,MeasLon,MeasAlt,RNG_MIN,RNG_MAX,AZM_MIN,AZM_MAX,ELV_MIN,ELV_MAX
50,92,14,3,0,1,3520.32,156.8986,15.6515,21705.703,3506.34,157.5196,14.8888,21705.695,1,2290.97,1306.1995,-3127.3005,916.1247,-9.85,7.65,-17.15,21.2,0,0,0,21705.7,13.187486,78.163879,753.669983,13.187486,78.163879,753.6699829,1704.38,5336.25,154.3,159.5,13.25,18.05
50,92,14,3,0,1,3503.29,157.3829,15.0141,21706.195,3506.28,157.0439,14.6198,21706.195,1,7847.49,1312.9047,-3123.7161,895.1873,-0.49,7.45,-27.16,28.17,0,0,0,21706.2,13.187486,78.163879,753.669983,13.187486,78.163879,753.6699829,3303.29,3703.29,156.08,158.68,13.81,16.21
50,92,14,3,0,1,3497.81,157.1823,14.5988,21706.695,3506.3,156.7433,14.8272,21706.76,1,25111.09,1328.0421,-3116.1514,890.8769,11.49,10.31,-19.79,25.11,0,0,0,21706.76,13.187486,78.163879,753.669983,13.187486,78.163879,753.6599731,3297.81,3697.81,155.88,158.48,13.4,15.8
50,92,14,3,0,1,3497.63,156.7935,14.5887,21707.26,3496.43,156.7593,14.5238,21707.287,1,39060.48,1334.7911,-3110.4519,878.6591,12.19,10.68,-21.44,26.87,0,0,0,21707.29,13.187486,78.163879,753.659973,13.187486,78.163879,753.6599731,3297.63,3697.63,155.49,158.09,13.39,15.79
50,92,14,3,0,1,3491.85,156.6438,14.3924,21707.787,3495.85,156.7907,14.5445,21707.822,1,26168.23,1337.0679,-3107.6462,873.1802,9.83,9.15,-18.09,22.54,0,0,0,21707.82,13.187486,78.163879,753.659973,13.187486,78.163879,753.6599731,3291.85,3691.85,155.34,157.94,13.19,15.59
50,92,14,3,0,1,3489.51,156.613,14.3378,21708.322,3506.38,156.762,14.8041,21708.381,1,2301.54,1339.8253,-3108.8096,879.7867,8.61,5.97,-8.77,13.67,0,0,0,21708.38,13.187486,78.163879,753.659973,13.187486,78.163879,753.6599731,3289.51,3689.51,155.31,157.91,13.14,15.54
50,92,14,3,0,1,3495.59,156.5981,14.503,21709.063,3523.76,156.5327,15.1875,21709.063,1,7847.22,1349.5938,-3111.3906,896.8497,10.71,2.49,4.46,11.87,0,0,0,21709.06,13.187486,78.163879,753.659973,13.187486,78.163879,753.6599731,3295.59,3695.59,155.3,157.9,13.3,15.7
50,92,14,3,0,1,3509.59,156.4594,14.8434,21709.563,3514.01,156.4325,15.1617,21709.582,1,6723.62,1355.4558,-3109.5613,908.1611,10.98,2.79,9.6,14.85,0,0,0,21709.58,13.187486,78.163879,753.659973,13.187486,78.163879,753.6599731,3309.59,3709.59,155.16,157.76,13.64,16.04
50,92,13,3,0,1,3513.74,156.3533,15.0597,21710.223,3507.49,156.6672,14.3321,21710.223,1,5608.9,1355.4437,-3113.0508,893.6813,7.3,0.14,-2.05,7.59,0,0,0,21710.22,13.187486,78.163879,753.659973,13.187486,78.163879,753.6599731,3313.74,3713.74,155.05,157.65,13.86,16.26
50,44,14,3,0,1,20995.6,12.4817,0.4075,22240.539,20994.79,12.4478,0.9203,22240.516,1,178994.45,4530.3428,20498.7031,240.6598,22.01,0.49,-106.51,108.76,0,0,0,22240.52,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,18985.13,23006.07,9.88,15.08,0,2.81
50,44,14,3,0,1,20996.81,12.4916,0.5114,22241.016,21003.95,12.5022,1.0339,22240.992,1,141426.27,4543.7627,20500.9004,276.1477,23.76,2.04,-47.46,53.12,0,0,0,22240.99,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,20796.81,21196.81,11.19,13.79,0,2.91
50,44,14,3,0,1,21003.48,12.5279,0.6886,22241.492,21001.27,12.484,1.0577,22241.488,1,195722.03,4546.9551,20501.5391,318.9938,17.31,1.73,-1.28,17.44,0,0,0,22241.49,13.187486,78.163879,753.179993,13.187486,78.163879,753.1799927,20803.48,21203.48,11.23,13.83,0,3.09
